pplfair,pplhlp,ppltrst,euftf,gincdif,polintr,stfeco,stfedu,stfgov,stfhlth,stflife,trstplc,trstplt,trstun,imbgeco,atcherp,happy,rlgdgr,sclmeet,ccnthum,impenva,impfreea,impricha,impsafea,imptrada,ipcrtiva,ipeqopta,iplylfra,ipmodsta,ipudrsta,P_fc,ideo_fc
10,8,5,5,1,4,2,3,0,3,2,2,0,0,0,1,3,10,6,1,3,4,5,4,3,3,3,3,4,4,19,1
1,1,5,5,1,4,0,0,0,1,6,4,0,0,1,0,6,1,3,55,1,1,1,1,1,1,1,1,1,1,10,2
4,5,6,5,3,3,5,5,4,4,5,2,2,2,4,10,4,4,3,5,5,5,5,4,4,4,5,5,3,4,26,2
2,0,2,5,1,1,5,5,5,5,5,4,6,5,5,10,6,5,6,55,4,2,3,3,3,4,2,3,3,3,24,3
4,3,5,3,2,3,3,5,2,4,3,5,2,5,4,4,7,2,4,3,3,3,4,2,5,3,2,3,3,3,14,2
6,4,6,5,1,1,2,3,1,4,6,2,2,5,6,0,6,2,5,3,1,1,5,2,5,1,1,1,1,1,8,1
5,8,6,2,1,4,2,2,2,1,3,5,1,5,5,3,4,1,6,3,3,3,4,2,3,1,2,1,3,1,10,1
7,3,5,2,1,3,2,5,3,3,10,5,3,4,2,10,10,0,6,1,2,2,6,3,3,2,2,2,2,2,6,0
4,4,3,3,1,1,4,2,4,3,6,1,3,4,2,10,5,0,4,55,2,1,2,3,3,3,4,3,4,1,26,1
6,3,5,3,2,3,0,4,0,0,10,5,0,4,3,0,8,0,6,55,3,3,5,1,5,1,1,1,1,1,8,1
5,5,5,5,2,3,0,4,0,1,5,3,3,10,2,10,5,5,4,1,2,5,5,2,4,4,4,4,4,4,18,2
4,3,4,5,1,3,2,6,2,5,5,4,2,5,3,10,3,4,2,5,1,2,5,2,1,2,1,5,1,1,21,2
6,5,0,5,2,4,1,3,0,6,10,0,0,1,2,9,10,0,7,1,3,1,5,2,6,1,1,2,2,1,2,2
7,7,5,3,1,3,3,3,3,4,6,4,2,3,2,3,7,3,4,4,2,2,5,2,2,2,2,2,2,2,1,2
8,8,3,0,2,2,4,5,0,3,4,0,2,6,6,0,4,4,6,3,1,1,3,3,1,2,3,1,3,2,2,3
5,5,3,3,2,3,6,4,3,5,10,6,1,5,5,10,10,10,7,2,2,3,5,1,1,1,1,1,1,3,6,3
5,4,4,5,1,3,3,3,3,4,3,1,2,2,2,0,4,4,6,1,3,1,1,5,4,4,3,2,6,4,29,2
5,10,3,0,1,1,10,0,10,2,10,2,5,0,0,0,10,10,6,3,1,1,6,1,1,1,1,1,1,2,37,0
5,4,3,5,1,2,0,1,0,1,5,1,1,0,1,10,6,0,5,55,1,1,3,3,5,1,1,1,5,6,29,0
5,3,6,5,1,2,0,1,0,0,1,4,0,2,4,10,4,1,5,5,1,1,4,1,6,4,1,2,1,1,6,2
7,6,6,2,2,2,4,4,5,5,6,6,4,1,5,3,6,7,6,4,2,3,2,3,3,2,2,2,3,2,29,2
5,5,5,3,2,3,4,2,5,2,6,5,4,2,5,5,5,2,5,3,3,1,5,3,6,4,2,2,1,3,6,2
5,10,3,0,1,1,10,0,10,2,10,2,5,0,0,0,10,10,6,3,1,1,6,1,1,1,1,1,1,2,37,0
6,4,3,3,1,3,3,2,1,1,3,5,0,3,6,6,6,0,4,4,2,2,5,2,2,2,2,2,2,2,5,2
3,5,3,3,1,3,3,5,1,5,5,3,0,1,3,5,7,3,4,4,2,2,5,2,2,2,1,2,2,2,6,0
0,0,0,0,3,4,0,1,0,5,0,2,0,2,0,10,5,0,5,5,8,8,8,8,8,8,8,8,8,8,4,2
10,0,0,10,3,2,10,10,0,5,10,10,0,10,10,10,9,7,2,1,2,2,5,2,2,2,2,2,2,2,18,0
5,7,6,2,1,4,0,0,0,2,0,6,0,2,3,0,1,0,6,4,1,1,4,4,1,2,1,1,2,1,6,2
10,5,10,5,3,4,2,5,0,0,0,4,0,4,10,4,3,5,3,5,1,1,5,1,1,3,1,1,3,1,27,2
5,3,5,5,1,2,0,2,0,2,10,6,0,6,4,0,10,9,6,1,1,1,6,1,2,1,1,1,1,2,6,1
5,5,6,6,2,2,6,4,3,5,5,4,4,6,3,10,5,6,3,5,5,3,5,4,5,5,4,4,3,3,26,2
3,2,4,5,2,3,6,5,5,4,5,3,0,1,6,0,5,0,6,4,1,1,1,1,6,4,1,1,1,1,6,1
4,4,2,5,1,1,2,2,3,5,3,1,2,5,3,10,4,0,4,5,4,2,3,2,5,2,2,2,2,3,4,0
5,5,0,10,1,3,3,3,3,5,3,10,2,2,5,5,5,5,4,2,2,2,5,2,2,2,2,2,2,2,37,0
5,5,3,3,1,2,0,2,2,5,5,4,0,0,5,10,8,0,4,4,3,1,4,5,4,1,2,1,2,2,5,2
5,4,1,2,1,3,5,4,5,3,5,4,0,5,1,5,6,1,6,4,3,2,4,1,3,3,2,2,4,3,4,2
3,2,3,5,1,4,4,4,0,10,4,4,0,0,5,5,6,0,4,5,2,2,5,2,5,6,2,2,2,3,6,0
5,3,5,5,2,3,4,5,5,5,6,6,4,6,4,0,7,5,6,55,2,3,3,2,2,2,2,2,4,3,4,2
2,0,2,5,1,3,0,0,0,0,5,0,0,1,0,10,5,5,1,4,1,1,5,1,2,2,1,1,1,1,29,2
5,2,3,0,1,2,4,4,4,3,6,6,2,2,5,7,9,7,6,4,2,2,2,2,2,2,2,2,2,2,2,1
3,3,3,5,2,3,4,4,4,4,4,6,5,4,5,10,5,5,2,5,2,2,5,2,2,2,1,2,2,2,14,1
5,3,0,5,1,3,0,2,3,0,5,3,0,6,6,10,10,6,6,5,1,4,3,2,2,2,1,2,2,1,6,2
4,3,4,5,3,4,4,4,4,4,3,4,4,4,5,0,2,0,6,5,3,3,2,1,2,2,2,2,4,3,6,1
0,0,10,0,1,4,0,0,0,10,0,10,0,0,0,0,0,10,1,1,2,2,5,2,2,2,1,2,2,2,6,3
3,1,1,5,3,3,5,3,2,4,6,4,2,4,5,5,6,3,4,4,2,2,5,2,2,2,2,2,2,2,18,0
1,1,1,5,1,4,1,3,1,1,1,1,1,1,1,0,1,0,1,4,3,2,3,3,3,6,3,3,4,5,4,2
5,2,5,5,2,2,3,4,2,3,6,0,0,5,2,8,3,8,2,5,1,1,3,3,4,2,2,2,5,2,29,2
2,1,2,5,1,2,0,3,2,3,6,5,3,6,5,1,5,3,6,1,2,1,3,1,1,3,1,4,3,3,4,2
5,3,5,0,2,3,0,6,4,2,5,6,0,0,0,9,8,3,7,5,1,3,4,1,2,2,1,4,2,2,4,0
1,5,0,2,2,4,4,4,4,2,5,2,0,3,0,0,5,5,2,5,1,1,5,2,1,2,2,3,2,2,21,0
6,2,3,5,1,4,3,4,6,3,2,6,4,6,4,1,4,9,1,5,2,4,5,3,2,4,2,2,2,2,11,2
5,4,2,5,2,3,5,3,5,3,2,4,0,0,5,5,8,1,4,4,2,2,5,2,2,2,2,2,2,2,5,2
5,7,5,5,2,3,3,5,4,6,6,3,2,5,5,0,7,5,4,4,1,2,5,2,5,1,1,1,1,1,6,2
5,5,5,1,1,4,4,6,4,6,6,6,4,6,5,6,6,7,7,5,2,2,4,1,1,3,2,1,4,3,14,1
5,3,4,1,1,4,3,4,0,2,5,10,0,5,1,2,5,2,4,4,2,4,4,1,4,4,1,2,1,2,14,2
6,3,5,2,1,3,3,2,4,3,4,1,1,4,2,2,4,2,4,4,1,1,1,1,1,1,1,1,1,1,2,0
10,0,0,10,3,4,5,10,0,10,5,10,0,0,0,0,5,10,2,55,1,2,6,1,1,6,1,1,1,1,37,3
2,2,3,5,3,3,4,3,3,3,6,4,3,3,4,10,4,8,5,5,2,3,1,2,3,2,2,3,2,2,13,1
5,0,0,10,2,2,4,5,3,10,4,10,0,0,5,10,8,0,6,3,2,2,5,2,2,2,1,2,2,2,6,2
5,5,5,5,2,3,3,3,3,4,5,2,2,3,5,10,6,0,3,55,2,2,4,3,3,4,3,2,3,3,22,2
0,0,0,1,1,1,1,1,5,1,1,5,5,5,5,0,3,1,2,55,1,2,2,1,3,4,2,2,3,1,26,2
5,5,5,3,2,2,5,6,4,6,6,6,4,5,4,0,5,5,4,5,2,2,4,3,2,2,2,2,3,2,1,2
2,2,2,6,4,3,5,6,1,10,10,5,0,5,1,5,10,6,7,2,2,2,4,1,3,2,2,2,4,2,30,2
5,4,4,6,1,3,3,5,5,2,3,5,5,6,2,0,5,5,6,4,1,3,3,1,1,2,1,1,2,2,24,1
5,2,2,0,2,3,2,2,0,0,4,0,0,0,5,0,4,0,4,3,1,1,6,1,5,6,1,1,1,3,37,2
0,3,2,5,1,2,2,3,5,5,6,1,5,3,2,10,8,0,4,55,1,1,3,2,2,3,1,1,2,1,29,2
7,3,5,10,4,2,3,4,0,4,5,3,1,1,2,7,5,0,3,4,1,2,2,3,2,1,8,2,2,3,5,2
3,2,2,5,2,1,3,5,4,6,5,5,1,2,0,0,6,2,2,5,4,3,3,4,4,4,4,4,8,5,4,0
4,6,4,5,4,2,2,0,0,1,6,2,0,0,4,0,8,10,6,4,1,1,6,3,6,1,2,2,2,3,5,0
5,0,2,0,2,4,0,1,0,1,4,1,0,0,0,0,5,5,2,5,1,1,5,2,2,3,1,1,4,3,2,0
0,0,0,3,1,4,0,0,2,0,0,0,0,0,0,2,1,1,2,3,2,2,3,2,2,2,2,2,2,3,37,0
7,1,5,5,2,2,1,4,0,6,6,0,2,5,5,0,7,7,5,4,2,4,6,2,3,2,1,3,2,1,19,2
3,4,4,5,2,4,2,3,3,3,2,4,3,2,2,4,4,1,3,55,2,2,1,2,4,2,4,2,2,2,29,0
0,0,0,5,1,4,0,0,0,0,5,0,0,0,4,2,4,0,2,55,2,2,6,2,2,1,2,2,2,2,5,2
7,5,5,5,1,4,4,4,4,4,3,3,5,5,4,1,6,3,1,5,2,3,2,2,2,3,3,1,1,2,8,1
4,3,3,5,2,2,2,1,1,2,4,1,1,0,3,10,4,0,6,5,3,2,4,1,3,4,4,4,2,2,29,2
6,5,3,5,2,3,3,5,4,4,5,3,2,4,5,0,7,5,5,4,3,4,5,2,3,3,3,3,2,3,4,2
5,7,5,3,4,4,3,5,3,5,6,4,2,4,4,0,6,1,6,55,2,1,5,1,1,2,1,1,5,1,6,2
0,0,0,10,2,3,0,0,10,0,10,10,0,10,0,10,10,10,6,3,2,2,5,2,2,2,1,2,2,2,6,3
5,4,5,4,3,3,4,4,5,5,4,4,4,5,4,6,5,9,2,4,3,3,4,4,2,3,2,3,3,4,14,2
10,0,0,0,1,2,1,4,0,6,10,0,0,2,5,4,8,9,7,5,3,2,5,2,3,2,1,3,2,2,30,0
4,8,5,5,2,3,4,0,3,1,5,5,0,4,0,5,5,3,3,3,8,8,8,8,8,8,8,8,8,8,14,2
5,3,4,4,2,3,4,3,2,4,4,3,3,4,6,0,4,4,6,4,3,2,4,3,3,4,2,2,4,3,11,1
6,6,6,5,1,4,0,5,0,3,10,10,0,0,4,10,10,7,6,1,3,2,3,2,2,2,2,3,4,3,6,2
3,2,3,6,2,3,3,2,4,1,2,1,1,2,3,9,4,5,2,5,3,3,4,5,3,4,5,3,3,2,29,1
0,0,0,6,2,2,3,3,1,1,6,5,1,5,10,0,6,2,4,1,2,2,2,2,2,2,2,2,5,5,18,2
3,3,0,5,4,2,5,1,1,3,5,3,1,0,3,10,5,0,3,5,1,2,5,3,5,2,6,2,2,5,5,2
2,1,1,4,4,3,0,1,3,0,10,4,3,5,5,6,8,8,5,5,1,2,6,2,3,2,2,2,2,2,14,3
0,0,1,10,1,4,1,3,1,0,1,0,0,5,0,1,2,2,3,5,4,2,1,1,3,6,4,1,1,1,27,3
8,6,6,6,1,4,2,6,1,6,6,6,2,6,2,10,6,9,6,5,3,2,4,4,2,5,3,3,3,4,6,1
5,5,5,0,1,3,0,5,0,0,5,5,5,5,0,2,5,5,7,5,1,1,6,2,1,3,1,2,2,1,5,2
4,4,4,2,1,2,2,1,5,6,10,5,0,6,4,6,10,10,5,5,1,2,5,1,2,2,1,2,2,2,21,3
3,2,4,6,1,2,4,0,2,0,3,3,3,5,3,9,5,7,2,4,3,1,5,1,2,5,1,3,2,2,33,0
4,8,4,5,2,3,2,6,3,2,5,6,1,5,2,4,6,4,4,3,3,3,5,3,4,4,2,2,3,3,6,2
4,6,5,5,4,2,2,3,2,5,10,3,5,4,4,0,10,5,5,4,2,1,3,3,2,2,3,3,3,4,5,3
10,10,10,10,2,2,5,3,5,5,5,10,3,10,10,10,7,5,6,4,2,2,5,2,2,2,1,2,2,2,6,0
6,4,5,0,2,3,6,5,5,5,6,5,3,4,6,2,6,4,4,5,1,1,5,3,3,1,3,3,3,2,14,3
6,4,6,6,3,3,4,4,6,4,4,5,3,3,6,4,8,2,5,3,4,3,3,4,3,3,3,4,3,5,2,2
5,5,4,10,3,2,4,4,5,5,5,5,0,5,5,6,8,8,7,5,1,2,4,1,1,1,1,2,1,1,14,2
0,0,0,1,1,4,0,0,0,0,0,0,0,0,0,0,10,5,7,4,1,1,6,1,1,2,1,2,2,2,37,2
10,0,6,5,2,3,5,6,0,10,10,5,3,2,5,10,10,8,7,5,2,1,1,3,1,3,1,2,3,2,2,2
2,2,2,5,2,3,0,0,0,0,0,2,2,2,0,10,3,4,2,5,1,3,3,1,1,3,2,3,4,4,29,2
3,3,3,5,2,2,3,5,3,5,6,6,0,0,5,6,7,9,3,4,1,3,4,1,1,4,3,2,2,3,14,1
5,7,6,5,2,3,4,4,4,3,5,4,3,4,5,10,6,5,6,5,2,2,5,2,2,5,2,3,3,3,18,2
5,6,5,5,2,2,6,6,3,2,5,4,5,5,6,5,8,0,5,5,1,1,3,2,5,1,5,1,5,1,20,0
5,8,5,5,1,3,0,6,0,2,5,5,0,0,2,10,8,5,7,55,4,3,5,1,2,3,2,2,1,2,6,2
0,0,0,0,1,4,1,3,1,2,1,10,6,10,2,1,10,1,3,5,3,3,2,3,3,2,3,3,3,3,11,0
5,5,5,0,1,2,2,3,0,2,5,5,0,0,0,4,5,5,5,4,2,2,5,2,2,2,2,2,2,2,1,2
3,5,3,10,1,2,1,2,2,2,0,4,3,5,2,10,8,5,3,5,2,1,5,2,2,3,3,2,2,2,8,2
3,0,5,2,1,3,2,3,4,2,6,6,5,5,0,10,6,8,1,55,2,5,5,2,3,5,3,4,3,3,14,1
1,5,0,1,1,3,3,5,0,3,3,5,0,2,2,0,6,0,3,4,3,1,6,2,1,1,1,1,2,2,5,2
0,5,0,10,1,4,0,2,0,0,0,0,0,0,2,0,3,8,2,5,2,2,4,1,2,2,1,2,2,2,21,3
0,0,0,10,1,3,0,0,0,0,10,0,0,2,3,1,10,5,2,5,1,1,1,1,4,1,2,1,1,2,18,2
5,1,1,6,2,1,5,0,0,0,5,1,0,1,6,0,7,7,3,3,2,1,2,2,2,1,2,2,3,4,13,2
8,0,3,0,1,2,4,3,0,4,10,0,0,0,5,1,10,0,7,4,6,1,6,1,4,1,1,1,3,1,6,2
5,5,1,5,1,4,1,6,1,6,5,5,1,1,5,5,5,1,6,5,4,1,5,1,1,1,1,1,1,2,8,1
2,1,1,5,1,4,3,5,2,5,10,6,0,3,0,1,10,5,4,4,2,2,5,2,2,5,2,2,2,2,21,0
3,1,2,3,3,3,2,3,3,3,5,5,2,4,4,4,3,0,6,55,2,4,4,6,3,3,3,3,4,4,4,1
4,4,4,3,2,2,4,5,4,4,5,4,4,5,3,8,5,6,2,5,2,3,4,2,2,3,2,2,2,3,16,1
5,5,4,6,1,3,6,3,3,3,5,4,2,4,6,5,5,6,6,4,1,2,2,1,4,2,1,1,3,2,37,1
5,5,5,6,2,2,4,6,5,5,5,5,3,2,2,9,8,5,7,55,3,1,2,2,3,1,2,1,2,2,28,1
6,6,6,3,1,4,6,3,3,2,10,6,3,6,1,8,10,6,4,3,1,2,6,4,1,1,1,1,1,2,21,2
7,5,6,10,5,2,1,6,0,6,6,5,0,0,4,0,8,7,6,3,2,4,4,2,2,3,3,1,2,2,27,3
5,4,4,4,2,4,2,4,4,3,4,6,1,6,3,6,7,4,6,3,3,4,3,3,4,3,4,4,3,4,14,0
4,5,4,5,3,3,5,5,5,5,5,5,5,5,5,10,5,5,5,55,4,4,3,3,4,3,3,4,4,4,6,0
3,2,5,5,2,3,3,5,5,3,4,5,5,5,6,0,8,5,5,5,2,2,2,2,2,2,2,2,5,2,22,2
6,5,4,1,2,2,0,5,0,6,5,0,2,0,3,0,7,0,7,5,1,2,5,2,1,2,1,1,2,2,6,0
6,5,0,5,2,4,1,3,0,6,10,0,0,1,2,0,10,0,7,5,3,1,5,2,6,1,1,2,2,1,2,2
2,1,3,5,1,2,1,5,0,2,5,4,1,6,5,1,5,4,2,3,1,2,6,2,3,4,2,1,3,4,11,1
2,2,2,5,2,3,3,3,0,2,3,2,0,0,6,0,5,5,3,3,3,2,6,1,2,4,2,3,3,3,16,2
5,4,5,5,3,3,4,5,5,4,5,3,3,3,5,2,10,5,3,3,4,2,3,3,4,1,3,3,1,3,29,1
5,5,5,6,1,3,1,5,0,4,4,5,3,5,0,1,4,5,6,5,2,2,6,2,2,1,1,1,1,2,6,1
5,6,6,5,2,4,4,4,4,4,6,1,1,1,1,0,5,6,2,5,2,2,4,2,2,4,2,2,3,3,10,1
0,0,0,3,1,2,0,0,0,0,2,1,0,0,2,9,4,0,2,4,2,5,2,2,3,3,3,2,2,2,24,2
4,3,4,4,2,2,5,5,3,4,4,6,4,3,4,6,5,5,4,3,3,3,3,3,3,3,2,2,3,3,33,1
2,1,2,5,2,3,0,1,0,0,3,1,0,2,5,0,3,5,2,5,2,3,2,1,2,2,3,2,2,6,26,0
3,5,2,3,1,3,2,5,2,3,2,5,1,1,2,10,2,3,3,5,2,2,3,1,3,3,2,2,2,2,5,1
4,5,5,5,3,2,4,5,6,4,5,5,4,6,6,0,6,4,4,55,4,4,4,4,4,4,3,4,4,4,1,1
4,4,2,5,3,3,4,2,2,1,6,10,10,10,5,8,7,9,4,5,1,1,4,1,1,3,4,2,2,2,24,0
3,2,2,4,2,4,2,2,2,3,2,2,2,1,6,2,4,6,3,2,2,2,3,3,2,3,2,3,2,2,14,2
8,6,5,5,3,2,0,3,0,4,5,1,3,5,10,10,8,5,7,2,1,2,4,2,2,2,1,1,3,2,2,0
0,0,0,5,2,4,5,6,5,4,5,6,6,6,5,10,9,1,6,5,2,3,6,1,3,1,2,2,2,5,6,1
0,0,0,10,1,2,4,0,0,0,10,1,1,0,10,2,10,10,3,4,2,2,5,2,2,2,2,2,2,2,37,0
5,5,5,10,2,3,2,5,2,5,5,6,3,6,5,9,5,5,4,5,5,3,3,5,5,3,5,5,5,2,33,1
4,3,4,5,3,3,3,1,3,0,6,4,2,3,5,0,7,7,4,55,2,3,3,2,1,5,3,3,3,3,18,2
3,5,2,10,2,2,0,0,0,0,4,0,0,6,3,4,2,5,6,4,1,2,6,1,1,4,2,2,1,2,6,1
6,4,5,2,2,3,4,6,6,4,6,4,0,5,2,0,4,0,4,5,4,3,3,4,2,3,2,3,3,1,4,1
5,5,5,0,3,4,0,0,0,0,5,0,0,0,0,0,5,0,6,55,2,2,5,2,2,2,1,2,2,2,6,2
0,0,0,0,4,3,0,0,0,0,0,0,0,0,0,5,10,10,1,3,2,1,5,2,2,5,1,2,2,2,37,0
4,3,2,5,1,4,2,4,2,4,3,3,3,6,2,10,7,2,7,5,3,4,4,2,5,2,3,3,4,3,19,2
3,6,3,4,3,3,6,4,4,6,10,6,4,5,6,5,10,4,6,3,2,2,5,2,2,2,2,2,2,2,20,2
5,3,4,3,2,2,6,4,4,5,6,6,4,6,6,6,7,4,5,4,1,1,3,1,2,2,3,2,3,2,14,2
0,0,0,0,1,3,0,0,0,0,10,0,3,3,5,9,10,10,7,2,1,1,6,3,1,5,6,1,4,3,2,2
6,4,5,5,2,1,4,3,4,5,5,4,5,4,4,0,4,2,4,4,3,3,3,2,3,2,3,3,2,3,29,2
6,2,5,3,2,3,4,4,6,4,4,4,3,2,3,4,6,7,5,5,2,2,5,3,2,2,3,3,3,3,29,1
9,9,5,5,1,3,5,5,4,3,5,3,4,4,5,0,9,5,4,5,3,2,5,2,4,2,1,2,1,3,5,2
4,3,3,6,1,2,3,5,3,4,3,4,2,4,6,6,7,6,5,3,2,2,4,2,2,2,2,2,2,2,6,1
0,0,0,5,2,4,0,10,0,0,10,0,0,0,10,0,10,5,2,3,2,2,5,2,2,2,1,2,2,2,6,0
5,2,1,10,1,3,0,2,5,5,10,3,0,1,5,1,8,10,6,5,1,6,5,1,5,1,1,1,1,1,8,2
2,1,1,4,2,3,10,10,10,10,10,2,2,2,0,8,7,0,5,5,3,3,3,3,3,3,3,3,3,3,4,3
4,2,4,5,2,3,4,3,5,2,2,1,1,2,2,0,3,4,3,4,4,4,4,4,4,4,3,3,4,4,29,2
5,3,5,10,1,3,10,4,5,3,10,6,0,5,1,10,10,5,5,5,2,1,5,3,2,1,2,2,5,5,5,2
2,2,2,2,1,2,3,3,3,5,2,1,2,1,3,8,4,6,2,1,2,2,3,3,3,4,3,3,2,3,24,0
5,0,0,10,1,3,0,4,0,0,5,5,0,2,10,10,5,8,3,55,1,3,5,1,1,1,1,1,3,2,18,3
2,5,2,5,2,2,4,3,0,0,3,5,0,0,5,1,6,0,2,5,6,2,4,5,6,1,2,2,5,5,5,2
3,1,3,5,4,3,2,6,2,6,4,6,4,3,4,1,6,9,4,55,5,3,3,2,1,1,1,3,3,2,8,2
2,2,1,5,2,3,1,2,2,2,3,2,1,2,5,0,4,2,2,4,2,2,3,2,1,3,2,3,2,3,26,1
4,1,4,3,2,3,1,2,4,0,5,3,1,2,6,2,5,5,1,3,1,1,5,1,1,1,3,1,1,1,11,2
5,7,6,5,4,1,3,5,5,3,3,3,1,0,3,10,5,8,7,55,2,2,5,2,2,2,2,2,2,2,20,0
3,4,2,5,3,2,5,5,5,3,6,5,5,0,5,0,6,5,4,4,8,8,8,8,8,8,8,8,8,8,29,2
5,0,5,0,1,4,0,3,0,5,0,0,0,0,0,0,5,0,6,1,2,2,5,2,2,2,2,2,2,2,1,0
3,3,2,0,1,2,0,0,0,3,4,4,0,1,6,5,5,0,4,3,2,2,5,2,2,2,2,2,2,2,20,2
0,2,0,5,2,3,1,5,0,2,4,3,0,4,0,6,6,7,3,3,2,2,5,2,2,2,2,2,2,2,18,2
6,5,5,6,4,2,5,4,5,5,5,6,5,5,5,4,5,5,6,55,2,2,2,2,2,2,2,2,5,3,5,2
10,10,10,5,1,4,3,5,2,5,4,5,0,2,5,5,5,3,6,3,2,2,5,2,2,2,1,2,2,2,6,0
5,6,6,4,3,4,5,1,2,3,5,4,5,5,4,6,5,0,4,55,4,4,3,4,3,4,5,4,6,6,4,2
2,2,1,3,2,3,6,6,5,4,5,4,4,5,3,9,2,3,2,55,3,3,4,5,2,4,4,4,3,4,24,0
1,2,5,10,1,2,0,2,1,1,10,3,1,1,2,1,10,4,4,3,1,3,6,1,2,3,2,1,1,1,21,1
5,4,4,5,1,3,3,4,4,3,4,2,2,3,4,10,6,4,4,5,2,2,5,2,2,2,1,2,2,2,14,2
4,5,4,1,2,3,3,0,2,0,5,5,3,2,3,0,3,5,4,5,2,4,3,2,2,3,4,1,1,1,26,2
1,3,3,1,1,3,3,3,5,4,2,4,2,0,3,10,3,4,3,4,1,4,4,1,1,2,3,2,2,4,4,1
5,6,5,5,3,3,3,3,3,4,5,2,1,3,2,10,5,5,6,2,3,2,5,5,2,2,5,3,5,5,29,2
5,3,5,6,2,3,5,5,5,5,5,0,0,0,6,0,6,4,3,5,1,3,2,3,2,2,1,2,2,2,27,1
5,0,5,5,2,3,2,3,2,3,5,5,3,3,5,10,5,0,7,3,2,1,5,2,5,2,1,2,3,2,8,0
8,8,5,10,2,2,5,2,0,3,10,2,3,3,10,8,9,3,3,4,1,3,6,2,3,6,1,3,1,1,18,0
5,2,5,0,1,3,3,0,1,3,6,4,0,0,5,4,7,5,6,5,1,1,3,2,4,5,1,1,4,1,5,0
8,4,4,5,5,3,4,5,4,6,6,4,4,5,5,0,8,6,4,55,3,2,4,2,3,2,2,1,3,2,2,1
7,2,2,5,3,4,5,4,5,2,5,5,3,5,5,8,6,7,2,5,3,4,6,1,3,4,3,4,2,3,6,2
6,4,3,2,1,3,2,4,4,4,4,4,3,4,4,2,5,9,2,5,4,4,3,3,4,3,3,4,4,4,4,2
5,5,1,5,1,3,3,3,3,2,5,5,3,5,2,5,6,5,3,3,2,2,5,1,2,3,1,2,1,2,21,2
5,5,5,5,2,3,5,4,2,2,10,1,0,3,5,6,9,5,3,5,1,1,5,1,1,2,1,1,1,1,14,2
4,1,6,4,2,3,2,6,1,5,6,6,0,5,6,10,7,3,6,5,4,2,2,2,5,3,3,2,5,3,19,2
2,2,1,0,3,2,5,1,2,4,6,2,2,1,4,0,4,4,2,3,2,2,5,2,2,2,2,2,2,2,1,0
4,0,0,2,2,3,2,5,5,2,5,0,5,2,0,7,6,5,1,3,2,5,6,2,2,6,5,2,5,5,24,0
5,5,4,4,2,2,3,4,1,2,6,6,1,2,5,0,7,1,4,55,3,2,3,1,4,4,2,1,3,2,5,1
10,10,0,10,2,1,10,0,0,0,10,0,0,0,10,0,10,0,2,4,2,2,5,2,2,2,2,2,2,2,5,0
7,3,2,4,1,4,3,3,5,3,10,5,5,6,4,10,9,8,6,5,3,5,5,3,2,1,1,1,1,2,6,2
1,1,0,0,1,4,1,4,5,4,2,0,0,0,1,1,2,3,5,5,2,3,3,2,2,4,1,2,3,3,14,0
6,4,2,0,1,4,0,5,0,6,10,0,0,0,5,0,10,6,1,4,1,4,5,1,1,4,1,1,1,5,14,0
5,4,4,3,1,2,1,6,3,2,1,1,1,1,4,1,3,7,6,3,3,2,5,1,1,4,1,1,3,2,27,0
3,0,0,0,1,2,0,5,0,5,10,0,0,5,0,0,10,10,3,55,1,2,2,2,1,5,2,1,1,4,6,2
7,2,3,5,2,4,3,4,1,5,5,6,0,5,3,5,6,4,4,4,2,2,5,2,3,3,3,2,1,3,21,2
5,6,4,5,2,3,5,5,5,6,5,6,4,3,6,6,7,3,5,3,1,1,3,1,2,1,3,3,4,2,14,2
3,3,1,2,2,2,2,3,3,4,3,3,2,2,4,10,8,3,5,5,3,2,5,1,3,3,4,1,1,2,6,2
5,5,5,5,2,2,4,5,5,6,4,3,3,3,5,10,5,4,4,55,3,4,4,3,3,3,3,3,3,4,29,1
9,5,10,10,1,2,5,3,5,3,6,10,5,10,10,8,5,5,7,4,2,2,5,2,2,2,2,2,2,2,20,0
4,2,5,3,1,1,2,5,1,6,6,4,1,2,10,0,7,0,5,55,1,1,5,5,6,2,1,1,1,1,8,0
5,1,4,3,3,3,0,1,0,1,4,1,0,0,3,4,10,8,7,4,2,2,5,1,4,2,1,3,5,1,31,2
6,5,4,4,4,2,3,3,2,6,6,5,3,4,5,6,7,2,4,3,3,1,5,2,5,4,2,1,4,2,5,2
5,5,2,5,1,3,0,0,2,0,6,5,0,6,3,7,8,4,5,4,1,1,5,2,1,2,1,1,2,1,6,1
5,5,6,5,2,4,1,5,1,3,5,6,3,5,5,8,5,7,4,5,1,2,5,2,2,1,1,2,2,2,10,2
2,3,3,5,2,4,1,3,2,4,4,2,2,1,2,0,4,3,3,5,2,2,5,5,2,2,2,2,2,5,30,2
0,5,0,10,1,4,0,2,0,0,0,0,0,0,2,10,3,8,2,55,2,2,4,1,2,2,1,2,2,2,21,3
0,0,0,1,2,3,3,3,5,5,5,5,5,6,5,6,6,0,4,55,1,1,3,1,1,1,1,1,2,1,2,2
4,0,4,10,1,2,0,0,0,3,5,10,0,0,0,0,10,7,4,55,1,3,6,1,3,1,1,1,1,1,6,0
6,1,3,2,2,2,2,2,1,1,5,2,1,1,5,1,5,0,6,5,2,1,4,1,5,2,1,2,3,3,6,0
